기간	자치구	동	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2020	합계	합계	4,126,524	9,586,195	4,647,733	4,938,462	3,982,290	9,098,805	4,376,850	4,721,955	1,479	13,447	7,459	5,988	785	79,188	33,026	46,162	141,970	264,013	129,752	134,261
2020	종로구	소계	68,069	151,291	73,062	78,229	63,414	135,582	65,104	70,478	68	585	399	186	47	3,742	1,799	1,943	4,540	7,573	3,414	4,159
2020	종로구	사직동	3,969	8,705	3,959	4,746	3,839	8,234	3,697	4,537	X	37	16	21	X	92	46	46	123	197	110	87
2020	종로구	삼청동	1,065	2,433	1,184	1,249	1,031	2,287	1,074	1,213	X	X	X	X	X	X	X	X	34	53	33	20
2020	종로구	부암동	3,901	9,666	4,622	5,044	3,773	9,061	4,308	4,753	X	28	12	16	6	193	54	139	119	169	98	71
2020	종로구	평창동	6,398	17,379	8,109	9,270	6,265	16,389	7,694	8,695	6	49	34	15	11	525	118	407	116	167	66	101
2020	종로구	무악동	2,899	8,082	3,763	4,319	2,883	7,958	3,672	4,286	X	6	6	X	X	X	X	X	15	28	11	17
2020	종로구	교남동	4,174	10,027	4,662	5,365	4,106	9,641	4,423	5,218	X	6	X	X	X	92	59	33	65	128	71	57
2020	종로구	가회동	1,782	4,169	2,056	2,113	1,733	3,847	1,789	2,058	X	15	X	11	X	188	188	X	45	56	28	28
2020	종로구	종로1.2.3.4가동	3,978	6,707	3,804	2,903	3,636	5,696	3,298	2,398	22	168	143	25	X	223	X	223	319	419	225	194
2020	종로구	종로5·6가동	2,835	5,456	2,962	2,494	2,692	4,597	2,401	2,196	X	27	15	12	X	386	296	90	138	292	150	142
2020	종로구	이화동	4,172	8,241	3,770	4,471	3,883	7,097	3,302	3,795	6	50	28	22	X	428	173	255	280	419	159	260
2020	종로구	창신1동	2,787	5,791	3,004	2,787	2,340	4,595	2,398	2,197	X	15	13	X	X	X	X	X	445	929	457	472
