기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019	합계	합계	계	10,010,983	308,979	368,373	374,510	459,621	687,693	846,081	755,347	807,231	744,593	859,556	803,690	796,430	713,607	493,045	390,166	295,933	179,234	80,837	30,921	8,870	6,266
2019	합계	합계	한국인	9,729,107	300,799	361,894	370,557	449,014	641,964	814,659	725,858	784,101	725,112	835,871	775,779	764,189	700,646	489,156	388,790	295,297	178,836	80,651	30,848	8,842	6,244
2019	합계	합계	외국인	281,876	8,180	6,479	3,953	10,607	45,729	31,422	29,489	23,130	19,481	23,685	27,911	32,241	12,961	3,889	1,376	636	398	186	73	28	22
2019	종로구	소계	계	161,869	3,689	4,825	5,256	7,507	14,593	13,958	11,008	10,905	10,550	13,615	13,323	13,545	11,576	7,959	6,754	5,858	3,849	1,844	727	275	253
2019	종로구	소계	한국인	151,290	3,540	4,671	5,153	6,595	10,924	12,648	10,172	10,204	9,981	13,096	12,768	12,946	11,274	7,854	6,702	5,836	3,836	1,837	725	275	253
2019	종로구	소계	외국인	10,579	149	154	103	912	3,669	1,310	836	701	569	519	555	599	302	105	52	22	13	7	2	-	-
2019	종로구	사직동	계	9,815	279	379	384	381	520	744	730	753	741	863	790	785	688	447	415	376	289	143	68	21	19
2019	종로구	사직동	한국인	9,535	268	370	376	372	510	730	690	704	699	835	769	769	676	446	410	374	287	142	68	21	19
2019	종로구	사직동	외국인	280	11	9	8	9	10	14	40	49	42	28	21	16	12	1	5	2	2	1	-	-	-
2019	종로구	삼청동	계	2,997	60	81	119	116	170	199	202	234	225	208	217	243	259	178	161	141	92	56	21	7	8
2019	종로구	삼청동	한국인	2,758	48	58	105	105	167	189	186	203	187	196	206	231	234	166	156	140	89	56	21	7	8
2019	종로구	삼청동	외국인	239	12	23	14	11	3	10	16	31	38	12	11	12	25	12	5	1	3	-	-	-	-
2019	종로구	부암동	계	10,551	235	365	450	520	777	845	674	727	700	971	911	826	788	490	454	342	264	129	51	22	10
2019	종로구	부암동	한국인	10,100	235	363	449	507	638	753	587	667	679	958	903	820	785	488	451	342	264	128	51	22	10
2019	종로구	부암동	외국인	451	-	2	1	13	139	92	87	60	21	13	8	6	3	2	3	-	-	1	-	-	-
2019	종로구	평창동	계	18,816	502	710	732	1,008	1,341	1,283	1,068	1,251	1,194	1,646	1,693	1,689	1,436	924	778	657	460	268	113	39	24
